time,bid_ask
2023-12-23 20:06:59.219615,1.46
2023-12-23 20:07:59.233749,1.46
2023-12-23 20:08:59.243715,1.46
2023-12-23 20:09:59.250365,1.64
2023-12-23 20:10:59.259698,1.56
2023-12-23 20:11:59.273714,1.71
2023-12-23 20:12:59.285739,1.46
2023-12-23 20:13:59.299653,1.47
2023-12-23 20:14:59.305895,1.46
2023-12-23 20:15:59.313869,1.46
2023-12-23 20:16:59.329320,1.46
2023-12-23 20:17:59.344093,1.86
2023-12-23 20:18:59.347684,1.46
2023-12-23 20:19:59.362206,1.46
2023-12-23 20:20:59.374228,1.46
2023-12-23 20:21:59.378090,1.46
2023-12-23 20:22:59.393737,1.59
2023-12-23 20:23:59.401621,1.46
2023-12-23 20:24:59.413993,1.46
2023-12-23 20:25:59.419309,1.46
2023-12-23 20:26:59.429379,1.46
2023-12-23 20:27:59.445291,1.46
2023-12-23 20:28:59.445899,1.46
2023-12-23 20:29:59.461403,1.46
2023-12-23 20:30:59.465790,1.46
2023-12-23 20:31:59.467869,1.46
2023-12-23 20:32:59.469560,1.46
2023-12-23 20:33:59.481449,1.46
2023-12-23 20:34:59.495513,1.46
2023-12-23 20:35:59.499402,1.46
2023-12-23 20:36:59.514245,1.46
2023-12-23 20:37:59.527362,1.46
2023-12-23 20:38:59.539905,1.46
2023-12-23 20:39:59.555614,1.62
2023-12-23 20:40:59.563702,1.46
2023-12-23 20:41:59.571409,1.46
2023-12-23 20:42:59.581380,1.46
2023-12-23 20:43:59.589512,1.46
2023-12-23 20:44:59.603691,1.46
2023-12-23 20:45:59.611468,1.46
2023-12-23 20:46:59.627584,1.86
2023-12-23 20:47:59.640196,1.46
2023-12-23 20:48:59.650856,1.46
2023-12-23 20:49:59.663435,1.69
2023-12-23 20:50:59.679503,1.46
2023-12-23 20:51:59.679677,1.46
2023-12-23 20:52:59.685828,1.59
2023-12-23 20:53:59.699618,1.46
2023-12-23 20:54:59.705548,1.46
2023-12-23 20:55:59.711475,1.46
2023-12-23 20:56:59.713613,1.46
2023-12-23 20:57:59.723763,1.46
2023-12-23 20:58:59.735982,1.46
2023-12-23 20:59:59.745575,1.46
2023-12-23 21:00:59.759304,1.69
2023-12-23 21:01:59.774150,1.46
2023-12-23 21:02:59.775865,1.46
2023-12-23 21:03:59.783498,1.46
2023-12-23 21:04:59.785326,1.46
2023-12-23 21:05:59.789612,1.76
2023-12-23 21:06:59.796940,1.46
2023-12-23 21:07:59.810066,1.46
2023-12-23 21:08:59.811375,1.46
2023-12-23 21:09:59.819172,1.75
2023-12-23 21:10:59.823864,1.46
2023-12-23 21:11:59.825781,1.46
2023-12-23 21:12:59.830104,1.46
2023-12-23 21:13:59.843858,1.46
2023-12-23 21:14:59.857813,1.46
2023-12-23 21:15:59.871167,1.46
2023-12-23 21:16:59.886367,1.46
2023-12-23 21:17:59.889041,1.46
2023-12-23 21:18:59.895475,1.46
2023-12-23 21:19:59.908702,1.46
2023-12-23 21:20:59.913333,1.67
2023-12-23 21:21:59.925761,1.67
2023-12-23 21:22:59.929231,1.5
2023-12-23 21:23:59.935615,1.65
2023-12-23 21:24:59.940101,1.46
2023-12-23 21:25:59.949904,1.91
2023-12-23 21:26:59.964364,1.46
2023-12-23 21:27:59.969307,1.46
2023-12-23 21:28:59.971720,1.46
2023-12-23 21:29:59.986301,1.46
2023-12-23 21:31:00.000072,1.46
2023-12-23 21:32:00.015344,1.46
2023-12-23 21:33:00.030170,1.46
2023-12-23 21:34:00.038372,1.46
2023-12-23 21:35:00.049826,1.46
2023-12-23 21:36:00.064393,1.46
2023-12-23 21:37:00.075078,1.46
2023-12-23 21:38:00.085809,1.46
2023-12-23 21:39:00.093170,1.5
2023-12-23 21:40:00.103980,1.54
2023-12-23 21:41:00.107820,1.46
2023-12-23 21:42:00.114874,1.46
2023-12-23 21:43:00.122266,1.46
2023-12-23 21:44:00.126710,1.46
2023-12-23 21:45:00.143021,1.46
2023-12-23 21:46:00.148963,1.46
2023-12-23 21:47:00.162669,1.46
2023-12-23 21:48:00.166038,1.46
2023-12-23 21:49:00.176535,1.7
2023-12-23 21:50:00.189830,1.46
2023-12-23 21:51:00.204549,1.46
2023-12-23 21:52:00.215964,1.46
2023-12-23 21:53:00.228142,1.46
2023-12-23 21:54:00.228675,1.46
2023-12-23 21:55:00.241818,1.46
2023-12-23 21:56:00.246772,1.46
2023-12-23 21:57:00.257782,1.46
2023-12-23 21:58:00.269594,1.46
2023-12-23 21:59:00.274570,1.49
2023-12-23 22:00:00.276644,1.46
2023-12-23 22:01:00.277252,1.46
2023-12-23 22:02:00.290192,1.46
2023-12-23 22:03:00.290789,1.46
2023-12-23 22:04:00.299425,1.46
2023-12-23 22:05:00.314667,1.46
2023-12-23 22:06:00.321622,1.46
2023-12-23 22:07:00.328317,1.46
2023-12-23 22:08:00.329035,1.46
2023-12-23 22:09:00.336771,1.46
2023-12-23 22:10:00.341776,1.46
2023-12-23 22:11:00.342102,1.59
2023-12-23 22:12:00.354262,1.46
2023-12-23 22:13:00.357503,1.46
2023-12-23 22:14:00.368997,1.46
2023-12-23 22:15:00.382616,1.46
2023-12-23 22:16:00.384336,1.46
2023-12-23 22:17:00.399249,1.51
2023-12-23 22:18:00.405562,1.68
2023-12-23 22:19:00.410538,1.69
2023-12-23 22:20:00.413112,1.46
2023-12-23 22:21:00.422984,1.46
2023-12-23 22:22:00.425836,1.46
2023-12-23 22:23:00.427780,1.46
2023-12-23 22:24:00.444099,1.83
2023-12-23 22:25:00.452481,1.46
2023-12-23 22:26:00.457954,1.46
2023-12-23 22:27:00.461807,1.54
2023-12-23 22:28:00.468576,1.46
2023-12-23 22:29:00.475236,1.53
2023-12-23 22:30:00.477526,1.46
2023-12-23 22:31:00.482121,1.81
2023-12-23 22:32:00.492158,1.46
2023-12-23 22:33:00.503864,1.46
2023-12-23 22:34:00.510337,1.55
2023-12-23 22:35:00.519029,1.56
2023-12-23 22:36:00.520296,1.46
2023-12-23 22:37:00.523351,1.46
2023-12-23 22:38:00.531752,1.46
2023-12-23 22:39:00.534499,1.46
2023-12-23 22:40:00.544764,1.46
2023-12-23 22:41:00.552061,1.46
2023-12-23 22:42:00.556867,1.46
2023-12-23 22:43:00.570493,1.46
2023-12-23 22:44:00.572533,1.79
2023-12-23 22:45:00.586353,1.46
2023-12-23 22:46:00.597014,1.62
2023-12-23 22:47:00.603210,1.46
2023-12-23 22:48:00.605280,1.46
2023-12-23 22:49:00.609147,1.49
2023-12-23 22:50:00.624490,1.46
2023-12-23 22:51:00.629861,1.46
2023-12-23 22:52:00.634687,1.46
2023-12-23 22:53:00.646358,1.53
2023-12-23 22:54:00.649237,1.46
2023-12-23 22:55:00.658890,1.46
2023-12-23 22:56:00.659005,1.46
2023-12-23 22:57:00.669523,1.46
2023-12-23 22:58:00.671722,1.46
2023-12-23 22:59:00.677103,1.66
2023-12-23 23:00:00.683970,1.46
2023-12-23 23:01:00.687175,1.46
2023-12-23 23:02:00.694433,1.48
2023-12-23 23:03:00.697646,1.46
2023-12-23 23:04:00.703083,1.46
2023-12-23 23:05:00.706708,1.52
2023-12-23 23:06:00.711488,1.46
2023-12-23 23:07:00.713691,1.46
2023-12-23 23:08:00.724332,1.46
2023-12-23 23:09:00.731979,1.46
2023-12-23 23:10:00.738112,1.46
2023-12-23 23:11:00.752766,1.46
2023-12-23 23:12:00.768367,1.46
2023-12-23 23:13:00.775110,1.46
2023-12-23 23:14:00.782212,1.46
2023-12-23 23:15:00.788508,1.46
2023-12-23 23:16:00.800442,1.46
2023-12-23 23:17:00.807982,1.46
2023-12-23 23:18:00.816598,1.61
2023-12-23 23:19:00.823795,1.46
2023-12-23 23:20:00.829565,1.91
2023-12-23 23:21:00.844795,1.6
2023-12-23 23:22:00.849277,1.46
2023-12-23 23:23:00.852046,1.46
2023-12-23 23:24:00.858769,1.46
2023-12-23 23:25:00.860866,1.6
2023-12-23 23:26:00.876079,1.46
2023-12-23 23:27:00.884479,1.46
2023-12-23 23:28:00.888183,1.46
2023-12-23 23:29:00.890181,1.46
2023-12-23 23:30:00.900277,1.46
2023-12-23 23:31:00.907908,1.46
2023-12-23 23:32:00.917635,1.46
2023-12-23 23:33:00.924395,1.46
2023-12-23 23:34:00.930849,1.46
2023-12-23 23:35:00.936424,1.46
2023-12-23 23:36:00.952126,1.46
2023-12-23 23:37:00.955592,1.46
2023-12-23 23:38:00.966660,1.46
2023-12-23 23:39:00.981892,1.5
2023-12-23 23:40:00.987980,1.46
2023-12-23 23:41:01.003704,1.6
